filename,class,xmin,ymin,xmax,ymax
BME_00006.jpg.png,blue_cone,1032,269,1072,325
BME_00006.jpg.png,blue_cone,1255,259,1291,315
BME_00006.jpg.png,blue_cone,1650,264,1694,326
BME_00006.jpg.png,blue_cone,2026,278,2086,354
BME_00006.jpg.png,blue_cone,587,329,656,416
BME_00019.jpg.png,yellow_cone,1381,320,1445,412
BME_00019.jpg.png,yellow_cone,1312,259,1351,313
BME_00019.jpg.png,yellow_cone,1268,234,1293,272
BME_00019.jpg.png,yellow_cone,1244,219,1262,249
BME_00019.jpg.png,yellow_cone,1222,211,1238,234
BME_00019.jpg.png,yellow_cone,1170,204,1182,228
BME_00019.jpg.png,yellow_cone,1105,204,1115,224
BME_00019.jpg.png,yellow_cone,1026,203,1038,223
BME_00019.jpg.png,blue_cone,988,222,1004,250
BME_00019.jpg.png,blue_cone,950,237,970,271
BME_00019.jpg.png,blue_cone,878,262,910,307
BME_00019.jpg.png,blue_cone,140,270,169,315
BME_00019.jpg.png,blue_cone,702,318,754,402
BME_00019.jpg.png,blue_cone,458,240,482,272
BME_00019.jpg.png,blue_cone,662,228,682,252
BME_00019.jpg.png,blue_cone,804,219,820,245
BME_00019.jpg.png,blue_cone,914,216,930,242
BME_00019.jpg.png,yellow_cone,945,205,957,225
BME_00019.jpg.png,yellow_cone,771,210,789,230
BME_00019.jpg.png,yellow_cone,1759,560,1806,632
BME_00023.jpg.png,blue_cone,938,211,954,236
BME_00023.jpg.png,blue_cone,697,348,767,442
BME_00023.jpg.png,blue_cone,1020,287,1064,350
BME_00023.jpg.png,blue_cone,1070,226,1090,259
BME_00023.jpg.png,blue_cone,1127,259,1160,311
BME_00023.jpg.png,blue_cone,1126,236,1155,276
BME_00023.jpg.png,yellow_cone,1318,214,1338,242
BME_00023.jpg.png,yellow_cone,1207,206,1220,231
BME_00023.jpg.png,yellow_cone,1433,227,1455,262
BME_00023.jpg.png,yellow_cone,1548,243,1584,289
BME_00023.jpg.png,yellow_cone,1789,203,1812,235
BME_00023.jpg.png,yellow_cone,1622,267,1668,331
BME_00023.jpg.png,yellow_cone,1808,215,1830,252
BME_00023.jpg.png,yellow_cone,1859,235,1896,286
BME_00023.jpg.png,yellow_cone,2140,268,2202,344
BME_00023.jpg.png,yellow_cone,1648,319,1714,412
BME_00023.jpg.png,yellow_cone,1667,403,1781,553
BME_00023.jpg.png,blue_cone,976,220,996,248
BME_00023.jpg.png,blue_cone,1031,198,1042,216
BME_00023.jpg.png,blue_cone,1125,192,1133,208
BME_00023.jpg.png,blue_cone,1227,188,1235,203
BME_00023.jpg.png,blue_cone,1288,187,1297,202
BME_00023.jpg.png,blue_cone,1419,186,1426,202
BME_00023.jpg.png,blue_cone,1517,185,1526,202
BME_00023.jpg.png,blue_cone,1661,180,1672,199
BME_00023.jpg.png,blue_cone,1797,181,1806,197
BME_00023.jpg.png,blue_cone,2047,184,2056,199
BME_00023.jpg.png,blue_cone,967,205,977,223
BME_00023.jpg.png,yellow_cone,1183,198,1195,221
BME_00023.jpg.png,yellow_cone,1256,194,1267,217
BME_00023.jpg.png,yellow_cone,1339,191,1351,213
BME_00023.jpg.png,yellow_cone,1492,188,1505,212
BME_00023.jpg.png,yellow_cone,1604,188,1619,215
BME_00023.jpg.png,yellow_cone,1779,187,1792,210
BME_00023.jpg.png,yellow_cone,1884,195,1898,223
BME_00023.jpg.png,yellow_cone,1900,187,1907,209
BME_00023.jpg.png,yellow_cone,1970,184,1985,210
BME_00023.jpg.png,yellow_cone,2005,190,2022,219
BME_00023.jpg.png,yellow_cone,2084,184,2101,209
BME_00023.jpg.png,yellow_cone,2145,190,2160,219
BME_00023.jpg.png,yellow_cone,2181,188,2195,211
BME_00024.jpg.png,blue_cone,336,423,489,580
BME_00024.jpg.png,blue_cone,1038,295,1083,361
BME_00024.jpg.png,blue_cone,1334,251,1371,301
BME_00024.jpg.png,blue_cone,1596,237,1625,278
BME_00024.jpg.png,orange_cone,1836,235,1867,275
BME_00024.jpg.png,orange_cone,2046,234,2077,273
BME_00024.jpg.png,yellow_cone,2000,311,2071,397
BME_00024.jpg.png,yellow_cone,2006,419,2141,576
BME_00024.jpg.png,yellow_cone,1688,199,1706,221
BME_00027.jpg.png,blue_cone,1482,222,1500,255
BME_00027.jpg.png,blue_cone,1616,215,1637,247
BME_00027.jpg.png,blue_cone,1792,216,1814,244
BME_00027.jpg.png,blue_cone,1364,229,1387,266
BME_00027.jpg.png,yellow_cone,1746,247,1782,298
BME_00027.jpg.png,yellow_cone,1914,246,1958,296
BME_00027.jpg.png,yellow_cone,2062,247,2106,299
BME_00027.jpg.png,yellow_cone,1619,263,1660,322
BME_00027.jpg.png,blue_cone,1094,269,1128,323
BME_00027.jpg.png,blue_cone,774,365,856,475
BME_00027.jpg.png,yellow_cone,1767,439,1911,609
BME_00027.jpg.png,blue_cone,348,534,488,691
BME_00027.jpg.png,blue_cone,1208,246,1235,289
BME_00027.jpg.png,yellow_cone,1596,301,1656,383
BME_00027.jpg.png,blue_cone,1996,216,2024,252
BME_00027.jpg.png,unknown_cone,1222,190,1240,221
BME_00028.jpg.png,large_orange_cone,837,485,936,640
BME_00028.jpg.png,large_orange_cone,1075,424,1157,540
BME_00028.jpg.png,orange_cone,1354,444,1402,510
BME_00028.jpg.png,orange_cone,1818,502,1906,604
BME_00028.jpg.png,orange_cone,1857,204,1934,295
BME_00028.jpg.png,large_orange_cone,913,1071,1011,1220
BME_00028.jpg.png,orange_cone,1124,680,1243,821
BME_00028.jpg.png,orange_cone,913,613,956,673
BME_00029.jpg.png,blue_cone,365,556,457,691
BME_00029.jpg.png,blue_cone,158,272,194,316
BME_00029.jpg.png,yellow_cone,196,250,224,282
BME_00029.jpg.png,yellow_cone,386,236,406,264
BME_00029.jpg.png,blue_cone,430,249,454,285
BME_00029.jpg.png,blue_cone,594,236,614,268
BME_00029.jpg.png,yellow_cone,568,226,584,250
BME_00029.jpg.png,yellow_cone,703,218,717,242
BME_00029.jpg.png,blue_cone,784,228,800,256
BME_00029.jpg.png,blue_cone,819,320,873,400
BME_00029.jpg.png,blue_cone,945,261,969,301
BME_00029.jpg.png,blue_cone,946,236,966,268
BME_00029.jpg.png,blue_cone,895,229,913,257
BME_00029.jpg.png,yellow_cone,842,212,854,236
BME_00029.jpg.png,yellow_cone,949,209,963,231
BME_00029.jpg.png,yellow_cone,1048,208,1060,232
BME_00029.jpg.png,yellow_cone,1142,211,1156,239
BME_00029.jpg.png,yellow_cone,1226,218,1244,250
BME_00029.jpg.png,yellow_cone,1291,236,1317,276
BME_00029.jpg.png,yellow_cone,1458,288,1510,360
BME_00029.jpg.png,yellow_cone,1876,446,2014,626
BME_00043.jpg.png,blue_cone,302,473,444,641
BME_00043.jpg.png,blue_cone,390,381,478,485
BME_00043.jpg.png,blue_cone,304,332,372,408
BME_00043.jpg.png,blue_cone,232,306,288,362
BME_00043.jpg.png,blue_cone,180,300,228,346
BME_00043.jpg.png,yellow_cone,276,257,303,286
BME_00043.jpg.png,yellow_cone,433,252,463,283
BME_00043.jpg.png,yellow_cone,556,253,584,285
BME_00043.jpg.png,yellow_cone,637,256,665,290
BME_00043.jpg.png,yellow_cone,714,262,744,298
BME_00043.jpg.png,yellow_cone,823,265,854,308
BME_00043.jpg.png,blue_cone,854,227,872,253
BME_00043.jpg.png,yellow_cone,956,272,993,320
BME_00043.jpg.png,yellow_cone,1198,291,1244,349
BME_00043.jpg.png,yellow_cone,1446,310,1500,384
BME_00043.jpg.png,yellow_cone,1672,172,1684,192
BME_00043.jpg.png,yellow_cone,1524,185,1533,204
BME_00043.jpg.png,yellow_cone,1749,371,1871,492
BME_00043.jpg.png,blue_cone,1701,191,1718,221
BME_00043.jpg.png,yellow_cone,1694,194,1703,222
BME_00048.jpg.png,large_orange_cone,808,486,884,642
